,receptor,molecule_chembl_id,canonical_smiles,type,relation,value,units,target_id,action_type,nombre_comercial,document_chembl_id,UMAP-1,UMAP-2
52,A1,CHEMBL279516,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,pA2,=,8.7,,CHEMBL2094251,,,CHEMBL1129998,2.0372033,3.5130765
53,A1,CHEMBL836,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,pA2,=,9.8,,CHEMBL2094251,,,CHEMBL1129998,-1.443589,2.8148012
54,A1,CHEMBL2051956,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@@H]1c1cccc([N+](=O)[O-])c1,pA2,=,7.3,,CHEMBL2094251,,,CHEMBL1129998,2.5645256,7.6942854
55,A1,CHEMBL420060,COc1ccccc1N1CCN(CCCNc2c(C)c(=O)n(C)c(=O)n2C)CC1,pA2,=,8.2,,CHEMBL2094251,,,CHEMBL1129998,4.2939043,-2.9609957
56,A1,CHEMBL24778,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,pA2,,,,CHEMBL2094251,,,CHEMBL1129998,6.628667,0.8303873
57,A1,CHEMBL707,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,pA2,=,8.2,,CHEMBL2094251,,,CHEMBL1129998,2.3412275,24.170267
58,A1,CHEMBL25467,C=Cc1sc2ccc(Cl)c3c2c1CN(C)CC3,pA2,=,7.5,,CHEMBL2094251,,,CHEMBL1129998,-0.5632016,1.5749338
59,A1,CHEMBL155596,CCCN(CCC)[C@H]1CCc2c(ccc(O)c2O)C1,pD2,=,6.1,,CHEMBL2094251,,,CHEMBL1129706,-2.9118843,2.1468241
60,A1,CHEMBL25300,COc1c(C)c(C)c(O)c(C)c1CN(C)CCOc1cc(C)c(O)cc1C(C)C,pA2,,,,CHEMBL2094251,,,CHEMBL1129998,4.225321,5.3205333
61,A1,CHEMBL611,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,pA2,=,7.4,,CHEMBL2094251,,,CHEMBL1129998,-1.468883,-6.215464
62,A1,CHEMBL588,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,pA2,=,5.3,,CHEMBL2094251,,,CHEMBL1129706,2.203161,-4.0234237
63,A1,CHEMBL356584,CCC1=C(C(N)=O)C(c2ccc(F)c(F)c2)N(C(=O)NCCCN2CCC(C(=O)OC)(c3ccccc3)CC2)C(=O)N1,Ratio,>,1000.0,,CHEMBL2094251,,,CHEMBL1132476,2.7090266,3.8875988
64,A1,CHEMBL24777,Cc1c[nH]c(=O)n(CCCN2CCN(c3ccc(F)cc3OCC(F)(F)F)CC2)c1=O,pA2,=,8.8,,CHEMBL2094251,,,CHEMBL1129998,-0.709314,3.5237217
65,A1,CHEMBL96677,CCCN(CCCCCCN(C)CCOc1ccccc1OC)[C@H]1CCc2c(ccc(O)c2O)C1,pA2,<,5.0,,CHEMBL2094251,,,CHEMBL1129706,-3.625842,2.6994498
66,A1,CHEMBL286591,O=C(CCCN1CCC(NC(=O)c2ccccc2)CC1)c1ccccc1,pA2,=,7.9,,CHEMBL2094251,,,CHEMBL1129998,1.9450381,4.21244
67,A1,CHEMBL597,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,pA2,=,7.8,,CHEMBL2094251,,,CHEMBL1129706,-16.879242,7.4087553
68,A1,CHEMBL1215,CNC[C@H](O)c1cccc(O)c1,pD2,=,6.5,,CHEMBL2094251,,,CHEMBL1129706,9.973533,-2.542775
69,A1,CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,pA2,=,8.7,,CHEMBL2094251,,,CHEMBL1129998,-19.571447,-2.7796364
70,A1,CHEMBL94157,COc1ccccc1OCCNCCCCCCN[C@H]1CCc2c(ccc(O)c2O)C1,pA2,=,7.1,,CHEMBL2094251,,,CHEMBL1129706,-3.8835545,2.814223
71,A1,CHEMBL94388,CCCN(CCCCCCNCCOc1ccccc1OC)[C@@H]1CCc2c(ccc(O)c2O)C1,pA2,=,6.9,,CHEMBL2094251,,,CHEMBL1129706,-3.807052,2.7484987
72,A1,CHEMBL88272,CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc1ccccc1OCC1CC1,pA2,=,7.3,,CHEMBL2094251,,,CHEMBL1129998,3.7667868,4.210729
73,A1,CHEMBL543741,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1.Cl.Cl,pA2,=,6.4,,CHEMBL2094251,,,CHEMBL1129998,4.056517,-2.701976
74,A1,CHEMBL94103,CCCN(CCCCCCNCCOc1ccccc1OC)[C@H]1CCc2c(ccc(O)c2O)C1,pA2,=,6.5,,CHEMBL2094251,,,CHEMBL1129706,-3.8792896,2.800231
75,A1,CHEMBL318933,CCCN(CCCCCNCCOc1ccccc1OC)[C@H]1CCc2c(ccc(O)c2O)C1,pA2,=,6.5,,CHEMBL2094251,,,CHEMBL1129706,-3.7596207,2.7133605
76,A1,CHEMBL5483012,COC(=O)C1=C(C)NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1.Cl,pA2,<,6.5,,CHEMBL2094251,,,CHEMBL1129998,2.4938703,7.6386857
77,A1,CHEMBL94491,CCCN(CCCCCCCNCCOc1ccccc1OC)[C@H]1CCc2c(ccc(O)c2O)C1,pA2,=,6.8,,CHEMBL2094251,,,CHEMBL1129706,-3.8055036,2.7183304
78,A1,CHEMBL278865,COc1ccccc1N1CCN(CCCNC(=O)c2cccc3c(=O)c(C)c(-c4ccccc4)oc23)CC1,pA2,=,8.8,,CHEMBL2094251,,,CHEMBL1129998,4.733666,-2.9995399
79,A1,CHEMBL319335,CCCN(CCCCCCNCCOc1ccccc1OC)CCc1ccc(O)c(O)c1,pA2,=,6.5,,CHEMBL2094251,,,CHEMBL1129706,-13.057477,4.085005
80,A1,CHEMBL836,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,pA2,=,8.2,,CHEMBL2094251,,,CHEMBL1129998,-1.4554741,2.7940786
81,A1,CHEMBL836,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,pA2,=,9.8,,CHEMBL2094251,,,CHEMBL1129998,-1.485358,2.6821122
